index,id,title,source,slot,section,cost,complexity,rulesSchemaVersion,migrationSource,convertedFrom,isStructured,balanceProfileSource,currentAbilityCount,attackPatternStatus,actionEconomy,usageType,damageBudgetRoles,damageTypes,conditionNames,parityStatus,effectCount,conditionalDamageCount,hasAreaTargeting,hasAreaEffect,hasOngoing,hasDefense,hasSummon,hasProcedure,hasMultiattack,hasMultiattackParticipation,referenceCount,fitPresent,compatibilityOverride,anatomyConstraintOverride,anatomyGrantOverride,mechanicOverride,parityReviewFlags,parityReviewRequired
1,swollen-corpse,Swollen Corpse,decomposition,body,trait,3,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,poisoned,verified,0,0,true,false,false,false,false,false,false,false,0,true,true,true,false,false,,false
2,fresh-bloat-hide,Bloat Hide,decomposition,body,trait,4,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,false,false,armor-class-state-review|movement-state-review,true
3,volatile-immobile-mass,Corpse Mass,decomposition,body,trait,5,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,false,false,damage-defense-review|movement-state-review,true
4,skin-slippage,Shedding Skin,decomposition,body,trait,2,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,false,false,advantage-disadvantage-review,true
5,mindless-command,Single Command,decomposition,mind,trait,1,1,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,false,false,false,,false
6,pressure-agony,Pain Fixation,decomposition,mind,trait,2,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,false,false,false,,false
7,stumbling-mass,Stumbling Mass,decomposition,movement,trait,2,1,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,false,false,false,false,,false
8,rupture-charge,Rupture Charge,decomposition,movement,bonusAction,3,2,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,bonusAction,atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,false,true,false,false,,false
9,collapsed-crawler,Crawling Ruin,decomposition,movement,trait,2,1,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,false,true,false,false,damage-defense-review,true
10,slam-decomposition,Crusher,decomposition,attack,action,2,1,monster-graft-rules-v1.16|monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics|existing-structured-rules,true,balanceProfile,2,authored-routine,action,atWill,mainAttack|minorAttack,bludgeoning,grappled|restrained,mixed,0,1,false,false,false,false,false,false,true,true,0,true,false,false,false,false,reach-review,true
